# mpu9150 IMU data started at: 14:21:50 2013-05-13
# mpu9150 IMU raw data
# timestamp,ax,ay,az,gx,gy,gz,C
1368480110.538195,65445,65507,4038,34,11,65502,23.19
1368480110.540337,65451,65482,4028,17,19,65522,23.14
1368480110.542455,65469,65482,4005,30,40,65489,23.09
1368480110.544571,65443,65485,4047,23,30,65490,23.14
1368480110.546791,65465,65486,4043,16,20,65499,23.19
1368480110.548888,65454,65458,4010,23,23,65509,23.14
1368480110.550986,65462,65483,4060,18,17,65500,23.09
1368480110.553123,65449,65465,4053,17,14,65507,23.14
1368480110.555221,65447,65484,4038,39,14,65490,23.09
1368480110.557392,65449,65472,4002,26,13,65494,23.05
1368480110.559488,65468,65453,4001,20,33,65504,23.09
1368480110.561610,65436,65489,3991,19,3,65489,23.14
1368480110.563796,65459,65502,4013,21,11,65506,23.19
1368480110.565921,65460,65479,4069,26,17,65502,23.14
1368480110.568034,65463,65462,4019,19,14,65499,23.09
1368480110.570071,65459,65498,4054,34,22,65503,23.05
1368480110.572259,65472,65468,4063,29,24,65492,23.09
1368480110.574404,65461,65476,4038,28,31,65494,23.24
1368480110.576506,65447,65483,4047,17,18,65500,23.19
1368480110.578659,65463,65481,4045,34,26,65512,23.14
1368480110.580854,65470,65487,4021,28,30,65485,23.00
1368480110.583101,65486,65487,4019,19,27,65515,23.14
1368480110.585056,65489,65494,4007,27,22,65487,23.09
1368480110.587173,65459,65497,4012,26,18,65522,23.14
1368480110.589305,65457,65479,4068,40,29,65485,23.09
1368480110.591413,65477,65490,4055,28,6,65516,23.14
1368480110.593544,65455,65493,4038,16,38,65490,23.09
1368480110.595712,65463,65476,4037,19,21,65487,23.14
1368480110.597804,65468,65487,3990,37,22,65494,23.09
1368480110.599984,65486,65503,4011,27,8,65495,23.14
1368480110.602058,65494,65501,4010,11,26,65502,23.09
